,sigma1,sigma2
0,0.3668855480491673,0.2807707504613714
1,0.6148369606878287,0.6387314420675235
2,0.7879808882839299,0.9880033142064946
3,1.1564758132305433,0.730569046776937
4,1.1515075790389302,1.530412734275544
5,1.4817012716547393,1.7010992040005128
6,1.5869773871374164,1.7508060685990672
7,2.105513626717832,1.543043023136833
8,2.063668336017243,1.8738525577391607
9,2.626490844414231,1.8444902532226184
10,2.468960077904321,2.231989569075705
11,2.521392081104313,2.8229169072373246
12,2.637385021369378,3.1266355822865672
13,2.8329001109258853,3.0990655984054354
14,2.91325193557354,2.9204369860826915
15,3.1122101362039034,2.950228756513497
16,3.729752681558112,2.3955464283629717
17,3.996143911989171,2.3587000369043425
18,3.835925965631125,2.8356462783661573
19,4.488096139471864,3.086207895061269
20,4.807155766717098,3.0413831202838715
21,4.943256698987009,3.2860958477967275
22,5.084385681802585,3.6592061753102074
23,5.240146611105323,4.080549559212906
24,5.635493300798805,3.8018002796403754
25,5.707166971500138,3.7723393053124186
26,5.771280052419087,3.959940797750817
27,5.946723776650316,3.9609214332592337
28,6.090968473481508,4.222482453252964
29,6.116817311195185,4.485611550608813
30,6.368784041587412,4.383849942746574
31,6.690550252190631,4.432263848335746
32,6.874205031579244,4.820084234887707
33,7.043053186613882,4.853955464416217
34,7.233155094450793,5.070705651567673
35,7.66342701303369,5.620049024072634
36,7.665960064222189,5.980029746752085
37,7.894299903150776,5.971273882878769
38,8.070865363447922,6.123019534381179
39,8.064321483304257,6.238567998126239
40,8.080224746667527,6.881806237915992
41,8.143559247046143,6.850942279434693
42,8.18574319740958,6.931874869108791
43,8.20313171055777,7.023436651003972
44,8.572498472895328,6.830188650621443
45,8.78984239432481,6.742859122481784
46,8.975954944617854,6.704310580449237
47,9.257447479523025,7.240177479912567
48,9.268163995616463,7.320000374194168
49,9.725423803526777,7.022391063137588
50,9.734353520122015,7.096525456037462
51,9.624244948429222,7.536523689936023
52,10.215747387047925,8.053577045891155
53,10.4752893230878,8.154051169680521
54,10.909781272208685,8.677764451873015
55,11.555729454030825,9.166453294968695
56,12.17298298636242,9.520922917541172
57,12.492341959837388,9.58306087811564
58,12.598832558723243,9.980684709286646
59,12.677176780878884,9.879839754269144
60,13.105572783809846,9.815053884426892
61,13.33873782464611,9.663199298858366
62,13.446626885480333,9.868925816064875
63,13.847040363026853,10.183356641456376
64,13.97959456387944,10.44609257266478
65,14.186066789626238,10.185310341407725
66,14.276485120366452,10.575381654239878
67,14.47717038710686,10.35445219915794
68,14.463843308402913,10.87609898977156
69,14.984703642261469,10.680162417628882
70,15.084506141271198,10.525935795406712
71,15.2421242326103,10.320591501051949
72,15.463151471424178,10.485295948255736
73,15.73038116462085,10.447810448659592
74,16.23913306580632,10.60606254659006
75,16.092936086000858,11.009715193113664
76,16.09865615255907,11.195000825699443
